City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,air_quality_concentration
Oxnard,California,31.0,101906.0,105346.0,207252,78678.0,4.08,CA,
West Valley City,Utah,30.7,68235.0,67989.0,136224,30712.0,3.81,UT,
Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4454.0,2.49,WI,
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,5715.0,2.67,NC,
Deltona,Florida,39.9,44853.0,43621.0,88474,7098.0,2.89,FL,
Greenville,North Carolina,26.2,39897.0,50691.0,90588,4183.0,2.4,NC,
Salt Lake City,Utah,32.1,98364.0,94296.0,192660,32166.0,2.38,UT,
Westminster,California,42.9,45538.0,46573.0,92111,42227.0,3.27,CA,
Bayonne,New Jersey,39.7,32705.0,33598.0,66303,21899.0,2.62,NJ,
Homestead,Florida,31.4,31401.0,35099.0,66500,24408.0,3.48,FL,
Jackson,Tennessee,35.3,30007.0,36973.0,66980,2097.0,2.52,TN,
Camarillo,California,40.8,31941.0,35682.0,67623,9735.0,2.77,CA,
Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,13824.0,2.41,NM,
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,16640.0,2.36,AR,
Boston,Massachusetts,31.8,322149.0,347320.0,669469,190123.0,2.38,MA,
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,29899.0,2.81,MA,
Tallahassee,Florida,26.2,89390.0,100504.0,189894,16720.0,2.38,FL,
San Antonio,Texas,33.1,721405.0,748419.0,1469824,208046.0,2.93,TX,
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,24302.0,2.47,NC,
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,2413.0,2.29,SC,
Dallas,Texas,32.6,639019.0,661063.0,1300082,326825.0,2.59,TX,
Cary,North Carolina,39.9,78932.0,81582.0,160514,30008.0,2.61,NC,
Parma,Ohio,40.8,38425.0,41518.0,79943,6909.0,2.42,OH,
Carmel,Indiana,39.9,42928.0,46101.0,89029,9645.0,2.71,IN,
Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5757.0,2.41,MN,
Delray Beach,Florida,47.9,32219.0,34042.0,66261,16639.0,2.35,FL,
West Palm Beach,Florida,39.6,49262.0,57520.0,106782,30675.0,2.53,FL,
Clovis,California,37.8,52392.0,51780.0,104172,13409.0,2.76,CA,
Seattle,Washington,35.5,345659.0,338784.0,684443,119840.0,2.13,WA,
El Paso,Texas,33.1,332797.0,348339.0,681136,159709.0,3.03,TX,
Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,14630.0,2.38,IL,
New Rochelle,New York,40.6,38871.0,40967.0,79838,26960.0,2.85,NY,
Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,3755.0,2.58,MO,
Surprise,Arizona,39.4,62875.0,65567.0,128442,9929.0,2.9,AZ,
Flower Mound,Texas,40.2,35200.0,35824.0,71024,6860.0,3.01,TX,
Bloomington,Illinois,35.1,37972.0,40323.0,78295,7287.0,2.34,IL,
Newport News,Virginia,32.8,88385.0,94000.0,182385,12589.0,2.46,VA,
Elgin,Illinois,35.7,54852.0,56224.0,111076,30167.0,2.969999999999999,IL,
Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,44475.0,2.86,CT,
Tracy,California,35.5,43156.0,43937.0,87093,25410.0,3.42,CA,
Orem,Utah,26.1,48695.0,45762.0,94457,12808.0,3.26,UT,
Stamford,Connecticut,35.4,64941.0,63936.0,128877,44003.0,2.7,CT,
Warner Robins,Georgia,31.4,35093.0,38909.0,74002,3210.0,2.5,GA,
Allen,Texas,37.2,51324.0,46814.0,98138,19649.0,3.04,TX,
Sunrise,Florida,37.7,41471.0,51235.0,92706,38209.0,2.98,FL,
Pharr,Texas,26.9,35242.0,41293.0,76535,25532.0,3.67,TX,
Milpitas,California,36.8,40098.0,37519.0,77617,39436.0,3.32,CA,
Passaic,New Jersey,30.4,36505.0,34577.0,71082,24174.0,3.56,NJ,
Lawrence,Massachusetts,30.8,37464.0,42776.0,80240,29170.0,3.17,MA,
East Orange,New Jersey,35.5,29995.0,34967.0,64962,15164.0,2.85,NJ,
Alameda,California,41.4,37747.0,40867.0,78614,18841.0,2.52,CA,
South Gate,California,32.5,47758.0,48641.0,96399,40571.0,3.969999999999999,CA,
Rochester,Minnesota,35.0,54934.0,57282.0,112216,17763.0,2.55,MN,
San Ramon,California,39.1,39221.0,36911.0,76132,29691.0,3.09,CA,
Durham,North Carolina,33.2,121153.0,136445.0,257598,38642.0,2.4,NC,
League City,Texas,35.9,49354.0,48996.0,98350,8361.0,2.719999999999999,TX,
Folsom,California,40.9,41051.0,35317.0,76368,13234.0,2.62,CA,
Alafaya,Florida,33.5,39504.0,45760.0,85264,15842.0,2.94,FL,
Richardson,Texas,35.5,54676.0,56151.0,110827,29579.0,2.83,TX,
Aurora,Illinois,31.7,101964.0,101751.0,203715,50980.0,3.3,IL,
Palmdale,California,32.6,76361.0,81989.0,158350,41974.0,3.54,CA,
Riverside,California,31.4,160613.0,161810.0,322423,69584.0,3.34,CA,
Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,28133.0,2.73,MD,
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,8827.0,2.719999999999999,CO,
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,58200.0,2.49,NM,
Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,3732.0,2.51,NC,
El Monte,California,37.3,57961.0,58784.0,116745,59655.0,3.67,CA,
Santa Clarita,California,38.1,90192.0,92175.0,182367,40666.0,3.02,CA,
Memphis,Tennessee,34.1,312237.0,343523.0,655760,43318.0,2.55,TN,
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,19531.0,2.68,OR,
Vista,California,29.3,50680.0,50204.0,100884,23271.0,3.52,CA,
Las Vegas,Nevada,37.5,310568.0,313201.0,623769,127609.0,2.79,NV,
Turlock,California,36.2,33190.0,39103.0,72293,14686.0,2.76,CA,
Pawtucket,Rhode Island,39.2,36072.0,35511.0,71583,17884.0,2.41,RI,
Chico,California,29.9,46168.0,44168.0,90336,8425.0,2.5,CA,
Naperville,Illinois,38.5,71365.0,75794.0,147159,30399.0,2.76,IL,
Yuma,Arizona,33.4,48298.0,45847.0,94145,19326.0,2.64,AZ,
Lancaster,California,30.9,80668.0,80445.0,161113,17247.0,3.25,CA,
Goodyear,Arizona,38.6,36711.0,42292.0,79003,11774.0,2.969999999999999,AZ,
Lakewood,California,39.9,41523.0,40069.0,81592,18274.0,3.13,CA,
Nashville,Tennessee,34.1,314231.0,340365.0,654596,88193.0,2.39,TN,
Caguas,Puerto Rico,40.4,34743.0,42265.0,77008,,,PR,
Federal Way,Washington,36.4,49151.0,46037.0,95188,18565.0,2.68,WA,
Downey,California,37.3,53006.0,61205.0,114211,39977.0,3.45,CA,
Irving,Texas,32.3,117189.0,119428.0,236617,86756.0,2.78,TX,
Manchester,New Hampshire,37.3,54845.0,55378.0,110223,14506.0,2.4,NH,
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,4982.0,2.35,WI,
Weston,Florida,38.6,32956.0,36991.0,69947,30876.0,3.34,FL,
Palo Alto,California,40.2,31451.0,35397.0,66848,23348.0,2.55,CA,
Stockton,California,32.5,150976.0,154674.0,305650,79583.0,3.16,CA,
Austin,Texas,32.7,475718.0,456122.0,931840,181686.0,2.5,TX,
Broomfield,Colorado,36.8,31755.0,33310.0,65065,5316.0,2.53,CO,
Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,205339.0,2.61,PA,
Columbus,Ohio,32.5,413981.0,435086.0,849067,101129.0,2.4,OH,
Reading,Pennsylvania,29.4,43668.0,44205.0,87873,17043.0,2.95,PA,
Mission Viejo,California,44.9,48849.0,48314.0,97163,17308.0,2.85,CA,
New Orleans,Louisiana,35.9,185736.0,203881.0,389617,21679.0,2.41,LA,
Reno,Nevada,35.7,122292.0,119151.0,241443,37070.0,2.46,NV,
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,26667.0,2.36,NC,
Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,56514.0,2.58,MN,
Thousand Oaks,California,44.8,65113.0,64216.0,129329,25330.0,2.79,CA,
Duluth,Minnesota,34.7,41271.0,44855.0,86126,2258.0,2.25,MN,
Carolina,Puerto Rico,42.0,64758.0,77308.0,142066,,,PR,
Kent,Washington,33.4,61825.0,65137.0,126962,38175.0,3.06,WA,
Melbourne,Florida,43.4,39180.0,40956.0,80136,9685.0,2.37,FL,
Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,70769.0,2.26,MN,
San Buenaventura,California,37.7,53932.0,55785.0,109717,18025.0,2.68,CA,
Harlingen,Texas,30.1,32404.0,33365.0,65769,10391.0,3.0,TX,
San Leandro,California,41.8,43032.0,47679.0,90711,34293.0,2.79,CA,
Tyler,Texas,33.9,50422.0,53283.0,103705,8225.0,2.59,TX,
Lynwood,California,29.4,35634.0,36371.0,72005,28061.0,4.43,CA,
Gainesville,Florida,26.0,60803.0,69330.0,130133,15272.0,2.33,FL,
Miami Gardens,Florida,34.9,50719.0,62480.0,113199,33394.0,3.75,FL,
Chino Hills,California,41.9,39639.0,38674.0,78313,24764.0,3.05,CA,
Bellflower,California,33.4,38936.0,39498.0,78434,24607.0,3.58,CA,
Camden,New Jersey,27.9,36437.0,39694.0,76131,11317.0,3.0,NJ,
Guaynabo,Puerto Rico,42.2,33066.0,37426.0,70492,,,PR,
Ponce,Puerto Rico,40.5,56968.0,64615.0,121583,,,PR,
